match_id,season,grade,round_type,round,full_round,match_date,home_team_id,away_team_id,home_goals,away_goals,status
,2022,first_grade,regular,8,Round 8,2022-08-06 05:00:00,Eastwood St Andrews FC,Ryde Saints United FC,1,0,complete
,2022,reserve_grade,regular,9,Round 9,2022-06-04 03:00:00,Epping Eastwood FC,Hills Hawks FC,1,4,complete
,2022,reserve_grade,regular,9,Round 9,2022-06-04 03:00:00,West Ryde Rovers FC,Macquarie Dragons FC,3,2,complete
,2022,reserve_grade,regular,9,Round 9,2022-06-04 03:00:00,North Epping Rangers FC,West Pennant Hills Cherrybrook FC,1,8,complete
,2022,reserve_grade,regular,9,Round 9,2022-06-04 03:00:00,Ryde Saints United FC,Normanhurst Eagles FC,1,2,complete
,2022,reserve_grade,regular,9,Round 9,2022-06-04 03:00:00,Pennant Hills FC,Eastwood St Andrews FC,2,1,complete
,2022,first_grade,regular,9,Round 9,2022-06-04 05:00:00,Epping Eastwood FC,Hills Hawks FC,2,2,complete
,2022,first_grade,regular,9,Round 9,2022-06-04 05:00:00,West Ryde Rovers FC,Macquarie Dragons FC,4,2,complete
,2022,first_grade,regular,9,Round 9,2022-06-04 05:00:00,North Epping Rangers FC,West Pennant Hills Cherrybrook FC,0,3,complete
,2022,first_grade,regular,9,Round 9,2022-06-04 05:00:00,Ryde Saints United FC,Normanhurst Eagles FC,2,5,complete
,2022,first_grade,regular,9,Round 9,2022-06-04 05:00:00,Pennant Hills FC,Eastwood St Andrews FC,0,0,complete
,2022,reserve_grade,regular,10,Round 10,2022-06-11 03:00:00,West Ryde Rovers FC,Epping Eastwood FC,6,6,complete
,2022,reserve_grade,regular,10,Round 10,2022-06-11 03:00:00,Hills Hawks FC,West Pennant Hills Cherrybrook FC,1,3,complete
,2022,reserve_grade,regular,10,Round 10,2022-06-11 03:00:00,Ryde Saints United FC,Macquarie Dragons FC,1,4,complete
,2022,reserve_grade,regular,10,Round 10,2022-06-11 03:00:00,North Epping Rangers FC,Eastwood St Andrews FC,3,4,complete
,2022,reserve_grade,regular,10,Round 10,2022-06-11 03:00:00,Normanhurst Eagles FC,Pennant Hills FC,1,1,complete
,2022,first_grade,regular,10,Round 10,2022-06-11 05:00:00,West Ryde Rovers FC,Epping Eastwood FC,2,1,complete
,2022,first_grade,regular,10,Round 10,2022-06-11 05:00:00,Hills Hawks FC,West Pennant Hills Cherrybrook FC,1,3,complete
,2022,first_grade,regular,10,Round 10,2022-06-11 05:00:00,Ryde Saints United FC,Macquarie Dragons FC,1,3,complete
,2022,first_grade,regular,10,Round 10,2022-06-11 05:00:00,North Epping Rangers FC,Eastwood St Andrews FC,0,2,complete
,2022,first_grade,regular,10,Round 10,2022-06-11 05:00:00,Normanhurst Eagles FC,Pennant Hills FC,1,1,complete
,2022,reserve_grade,regular,11,Round 11,2022-06-13 03:00:00,Epping Eastwood FC,West Pennant Hills Cherrybrook FC,1,1,complete
,2022,reserve_grade,regular,11,Round 11,2022-06-13 03:00:00,West Ryde Rovers FC,Ryde Saints United FC,5,4,complete
,2022,reserve_grade,regular,11,Round 11,2022-06-13 03:00:00,Eastwood St Andrews FC,Hills Hawks FC,4,1,complete
,2022,reserve_grade,regular,11,Round 11,2022-06-13 03:00:00,Macquarie Dragons FC,Pennant Hills FC,2,1,complete
,2022,first_grade,regular,11,Round 11,2022-06-13 05:00:00,Epping Eastwood FC,West Pennant Hills Cherrybrook FC,1,3,complete
,2022,first_grade,regular,11,Round 11,2022-06-13 05:00:00,West Ryde Rovers FC,Ryde Saints United FC,5,0,complete
,2022,first_grade,regular,11,Round 11,2022-06-13 05:00:00,Eastwood St Andrews FC,Hills Hawks FC,0,0,complete
