K_FACTOR_INITIAL,K_FACTOR_SETTLED,K_TRANSITION_GAMES,HOME_FIELD_ADVANTAGE,MOV_C1,MOV_C2,PRIOR_REGRESSION_FACTOR,RESET_PLAYED_PER_SEASON,ELO_TO_GOAL_RATIO,XG_ASYMMETRY_FACTOR,XG_BLEND_WEIGHT,MIN_XG,brier_F1,brier_F2,brier_F3,logloss_F1,logloss_F2,logloss_F3,accuracy_F1,accuracy_F2,accuracy_F3,n_F1,n_F2,n_F3,brier_mean,logloss_mean,accuracy_mean
40,35,15,30,0.002,2.0,0.4,False,75,0.85,0.5,0.2,0.5765733694160999,0.6002852794287107,0.47956547351721335,0.9841843673605305,1.0046563544436462,0.8300419208594433,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.539925376472962,0.9173491376515448,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,50,0.75,0.65,0.2,0.5782041975018748,0.6006949906226439,0.4791903032878308,0.9861442190655375,1.00515012557092,0.8291907436451988,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399426469552373,0.9171704346080595,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,50,0.75,0.65,0.3,0.5782236860572123,0.6006949906226439,0.4791903032878308,0.9862702609276902,1.00515012557092,0.8291907436451988,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399426469552373,0.9171704346080595,0.5827041866849691
40,35,15,30,0.001,2.0,0.4,False,75,0.85,0.5,0.2,0.5768017126196253,0.6007472142194283,0.47914970297765525,0.9857640010736638,1.0053654008138309,0.8294400125073755,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399484585985418,0.9174027066606032,0.5827041866849691
40,35,15,30,0.001,2.0,0.4,False,75,0.85,0.5,0.3,0.5768324144216358,0.6007472142194283,0.47914970297765525,0.9859503954521384,1.0053654008138309,0.8294400125073755,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399484585985418,0.9174027066606032,0.5827041866849691
30,35,10,30,0.001,2.0,0.4,False,50,0.75,0.65,0.2,0.5784196184088731,0.6011313641870958,0.4787923797765633,0.9875238728521748,1.005812131108402,0.8285975772090366,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399618719818295,0.9172048541587193,0.5827041866849691
30,35,10,30,0.001,2.0,0.4,False,50,0.75,0.65,0.3,0.5784394147642554,0.6011313641870958,0.4787923797765633,0.9876529934626439,1.005812131108402,0.8285975772090366,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399618719818295,0.9172048541587193,0.5827041866849691
30,35,10,30,0.001,2.0,0.4,False,50,0.65,0.5,0.2,0.5780186565344806,0.6033240689714525,0.4766091416758951,0.9935189420215463,1.0099903255407885,0.825423771354233,0.5425531914893617,0.5376344086021505,0.6170212765957447,94,93,94,0.5399666053236738,0.9177070484475107,0.5773278425989476
30,35,10,30,0.001,2.0,0.4,False,50,0.65,0.5,0.3,0.577895418781084,0.6033240689714525,0.4766091416758951,0.9919438015823336,1.0099903255407885,0.825423771354233,0.5425531914893617,0.5376344086021505,0.6170212765957447,94,93,94,0.5399666053236738,0.9177070484475107,0.5773278425989476
40,35,10,30,0.002,2.0,0.4,False,75,0.85,0.5,0.2,0.5766265240232119,0.6003426142781747,0.4795926923450126,0.9841719961598437,1.0047305935664594,0.8300905281897341,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399676533115937,0.9174105608780967,0.5827041866849691
40,35,10,30,0.002,2.0,0.4,False,75,0.85,0.5,0.3,0.576649681378172,0.6003426142781747,0.4795926923450126,0.9843161490471698,1.0047305935664594,0.8300905281897341,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399676533115937,0.9174105608780967,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,50,0.65,0.5,0.2,0.5780535380066602,0.6033554885453671,0.4766030294080373,0.9933541418385821,1.010014497454689,0.8254149434030061,0.5425531914893617,0.5376344086021505,0.6170212765957447,94,93,94,0.5399792589767022,0.9177147204288476,0.5773278425989476
30,35,15,30,0.001,2.0,0.4,False,50,0.65,0.5,0.3,0.5779477339457668,0.6033554885453671,0.4766030294080373,0.9919918428047864,1.010014497454689,0.8254149434030061,0.5425531914893617,0.5376344086021505,0.6170212765957447,94,93,94,0.5399792589767022,0.9177147204288476,0.5773278425989476
30,35,15,30,0.002,2.0,0.4,False,50,0.75,0.65,0.2,0.5782592235103975,0.6007563740615357,0.47921285469357666,0.9861355524318532,1.0052303675594505,0.8292317077339179,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399846143775562,0.9172310376466841,0.5827041866849691
30,35,15,30,0.002,2.0,0.4,False,50,0.75,0.65,0.3,0.5782788867291914,0.6007563740615357,0.47921285469357666,0.986262122020552,1.0052303675594505,0.8292317077339179,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399846143775562,0.9172310376466841,0.5827041866849691
40,35,10,30,0.001,2.0,0.4,False,75,0.85,0.5,0.2,0.5768481827362629,0.6007981107173959,0.4791719341654507,0.9857198863687813,1.0054293851162572,0.8294793139712219,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399850224414233,0.9174543495437395,0.5827041866849691
40,35,10,30,0.001,2.0,0.4,False,75,0.85,0.5,0.3,0.5768778924904295,0.6007981107173959,0.4791719341654507,0.9859003601788798,1.0054293851162572,0.8294793139712219,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399850224414233,0.9174543495437395,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,50,0.75,0.65,0.3,0.5784859847665058,0.6011870451071966,0.4788105376207728,0.9876080463458728,1.0058832909548827,0.8286305410641487,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399987913639847,0.9172569160095156,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,50,0.75,0.65,0.2,0.5784670550064459,0.6011870451071966,0.4788105376207728,0.98748370958308,1.0058832909548827,0.8286305410641487,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5399987913639847,0.9172569160095156,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,50,0.85,0.65,0.2,0.5793505740105531,0.6031265766696214,0.4769710107499216,0.9935594650173266,1.0093970569028359,0.8259690341224157,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5400487937097715,0.9176830455126258,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,50,0.85,0.65,0.3,0.5793097294892037,0.6031265766696214,0.4769710107499216,0.9929627792510757,1.0093970569028359,0.8259690341224157,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5400487937097715,0.9176830455126258,0.5827041866849691
30,35,15,30,0.002,2.0,0.4,False,50,0.85,0.65,0.3,0.5793489490593247,0.60316548814173,0.47696933463560015,0.9930027030773655,1.00943671430218,0.8259689820290959,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5400674113886651,0.917702848165638,0.5827041866849691
30,35,15,30,0.002,2.0,0.4,False,50,0.85,0.65,0.2,0.5793744325762047,0.60316548814173,0.47696933463560015,0.9934302349214243,1.00943671430218,0.8259689820290959,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5400674113886651,0.917702848165638,0.5827041866849691
30,35,10,30,0.001,2.0,0.4,False,75,0.75,0.5,0.2,0.5761784512022465,0.5985241433284931,0.4818799539495028,0.9796579587129082,1.0017444326500569,0.8333572045093707,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.540202048638998,0.9175508185797138,0.5827041866849691
30,35,10,30,0.001,2.0,0.4,False,75,0.75,0.5,0.3,0.5762034739403253,0.5985241433284931,0.4818799539495028,0.9797996767853898,1.0017444326500569,0.8333572045093707,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.540202048638998,0.9175508185797138,0.5827041866849691
30,35,10,30,0.001,2.0,0.4,False,50,0.85,0.65,0.2,0.5796959834783466,0.6037369667401961,0.47673443389617215,0.9959365382181665,1.010386948430269,0.8256919639494199,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5402357003181841,0.9180394561898444,0.5827041866849691
30,35,10,30,0.001,2.0,0.4,False,50,0.85,0.65,0.3,0.5795164566475908,0.6037369667401961,0.47673443389617215,0.9936466383364094,1.010386948430269,0.8256919639494199,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5402357003181841,0.9180394561898444,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,50,0.85,0.65,0.2,0.5797102016836645,0.6037680726007186,0.4767265701840679,0.9957514439215609,1.0104131891609673,0.8256792574084354,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5402473213923933,0.9180462232847013,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,50,0.85,0.65,0.3,0.5795462725879442,0.6037680726007186,0.4767265701840679,0.9936662200544525,1.0104131891609673,0.8256792574084354,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5402473213923933,0.9180462232847013,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,75,0.75,0.5,0.3,0.5763064853136888,0.5986089815337687,0.48193050146112654,0.9798853347578329,1.0018617152258764,0.8334422262421326,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5402697414974477,0.9176519707340045,0.5827041866849691
30,35,15,30,0.001,2.0,0.4,False,75,0.75,0.5,0.2,0.5762812462320049,0.5986089815337687,0.48193050146112654,0.9797430423161971,1.0018617152258764,0.8334422262421326,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5402697414974477,0.9176519707340045,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,75,0.75,0.5,0.2,0.5761176350431007,0.5982464713144916,0.4824808460585472,0.9789315109385784,1.0013578919655928,0.8342860967084379,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5403636586865194,0.9178219943370154,0.5827041866849691
30,35,10,30,0.002,2.0,0.4,False,75,0.75,0.5,0.3,0.5761435718023161,0.5982464713144916,0.4824808460585472,0.9790756386030144,1.0013578919655928,0.8342860967084379,0.5319148936170213,0.5483870967741935,0.6170212765957447,94,93,94,0.5403636586865194,0.9178219943370154,0.5827041866849691
