match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2022,15,West Ryde Rovers FC,West Pennant Hills Cherrybrook FC,1555.35,1560.03,0.4579,0.14753,0.39457,3.877,3.656,2,0,1
,2022,15,Epping Eastwood FC,Normanhurst Eagles FC,1486.24,1505.23,0.45252,0.15896,0.38852,3.368,3.159,1,0,1
,2022,15,Pennant Hills FC,North Epping Rangers FC,1471.69,1452.63,0.57298,0.15603,0.27099,3.449,2.486,3,1,1
,2022,15,Macquarie Dragons FC,Eastwood St Andrews FC,1518.49,1495.97,0.57143,0.14848,0.28009,3.779,2.804,1,2,-1
,2022,15,Ryde Saints United FC,Hills Hawks FC,1462.17,1492.2,0.37084,0.15025,0.4789,3.41,3.781,0,4,-1
,2022,16,North Epping Rangers FC,Epping Eastwood FC,1448.32,1490.75,0.34846,0.1607,0.49085,2.894,3.351,0,3,-1
,2022,16,Normanhurst Eagles FC,Macquarie Dragons FC,1500.73,1512.6,0.44948,0.15515,0.39538,3.515,3.334,1,3,-1
,2022,16,Hills Hawks FC,Pennant Hills FC,1500.65,1476.0,0.59655,0.14434,0.25911,3.887,2.745,1,3,-1
,2022,16,Eastwood St Andrews FC,West Ryde Rovers FC,1501.85,1560.06,0.32505,0.15253,0.52243,3.025,3.685,1,0,1
,2022,16,West Pennant Hills Cherrybrook FC,Ryde Saints United FC,1555.32,1453.72,0.80353,0.09045,0.10602,5.022,2.244,5,1,1
,2022,17,West Ryde Rovers FC,Normanhurst Eagles FC,1554.95,1494.71,0.67615,0.12681,0.19704,4.32,2.611,0,4,-1
,2022,17,Pennant Hills FC,West Pennant Hills Cherrybrook FC,1482.5,1559.84,0.26214,0.14318,0.59468,2.818,3.953,1,3,-1
,2022,17,Ryde Saints United FC,Eastwood St Andrews FC,1449.2,1506.96,0.30961,0.15253,0.53786,2.911,3.668,8,3,1
,2022,17,Epping Eastwood FC,Macquarie Dragons FC,1497.81,1518.62,0.4318,0.15971,0.40848,3.289,3.213,4,1,1
,2022,17,North Epping Rangers FC,Hills Hawks FC,1441.25,1494.16,0.31211,0.14721,0.54068,3.127,3.911,0,1,-1
,2022,18,Hills Hawks FC,Epping Eastwood FC,1499.11,1504.1,0.48627,0.15389,0.35984,3.625,3.201,3,1,1
,2022,18,Macquarie Dragons FC,West Ryde Rovers FC,1512.33,1544.81,0.40979,0.15293,0.43728,3.485,3.578,0,3,-1
,2022,18,West Pennant Hills Cherrybrook FC,North Epping Rangers FC,1564.85,1436.3,0.84719,0.07649,0.07632,5.114,1.943,6,1,1
,2022,18,Normanhurst Eagles FC,Ryde Saints United FC,1504.85,1458.34,0.64331,0.13159,0.2251,4.311,2.821,4,0,1
,2022,18,Eastwood St Andrews FC,Pennant Hills FC,1497.82,1477.48,0.54332,0.15599,0.30069,3.513,2.726,3,0,1
,2022,101,West Pennant Hills Cherrybrook FC,Normanhurst Eagles FC,1569.31,1510.54,0.67085,0.12414,0.20501,4.546,2.838,3,1,1
,2022,102,West Ryde Rovers FC,Eastwood St Andrews FC,1552.05,1503.24,0.64076,0.1348,0.22443,4.142,2.69,1,4,-1
,2022,103,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,1573.0,1511.81,0.68508,0.12185,0.19307,4.552,2.745,3,1,1
,2023,1,West Ryde Rovers FC,Epping Eastwood FC,1534.78,1499.51,0.5511,0.1465,0.3024,3.926,3.074,0,4,-1
,2023,1,West Pennant Hills Cherrybrook FC,Hills Hawks FC,1561.33,1503.06,0.58535,0.14221,0.27243,4.041,2.959,4,1,1
,2023,1,Macquarie Dragons FC,Ryde Saints United FC,1504.07,1462.12,0.56109,0.14535,0.29356,3.96,3.04,0,0,0
,2023,1,Normanhurst Eagles FC,St Patrick's FC,1505.48,1500.0,0.50628,0.15064,0.34309,3.777,3.223,4,2,1
,2023,1,Pennant Hills FC,Eastwood St Andrews FC,1477.65,1506.52,0.4546,0.15328,0.39212,3.606,3.394,4,0,1
,2023,2,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,1567.55,1512.45,0.54727,0.16198,0.29075,3.276,2.474,6,0,1
,2023,2,Ryde Saints United FC,West Ryde Rovers FC,1463.79,1521.84,0.57448,0.17865,0.24687,2.71,1.79,1,1,0
,2023,2,Hills Hawks FC,St Patrick's FC,1496.84,1493.95,0.46241,0.16219,0.3754,3.264,2.986,2,2,0
,2023,2,Eastwood St Andrews FC,Macquarie Dragons FC,1496.52,1502.4,0.30473,0.18834,0.50693,1.971,2.529,3,3,0
,2023,2,Normanhurst Eagles FC,Pennant Hills FC,1511.53,1487.66,0.45502,0.16594,0.37904,3.119,2.881,2,2,0
,2023,3,Epping Eastwood FC,Ryde Saints United FC,1503.82,1463.95,0.62113,0.15559,0.22328,3.293,2.064,3,2,1
,2023,3,St Patrick's FC,West Pennant Hills Cherrybrook FC,1494.91,1576.19,0.15925,0.11884,0.72191,2.291,4.303,0,6,-1
,2023,3,West Ryde Rovers FC,Eastwood St Andrews FC,1521.69,1495.71,0.51101,0.15523,0.33376,3.574,2.989,5,0,1
,2023,3,Pennant Hills FC,Hills Hawks FC,1488.99,1495.87,0.6809,0.13381,0.18529,3.875,2.208,1,1,0
,2023,3,Macquarie Dragons FC,Normanhurst Eagles FC,1503.21,1510.2,0.36331,0.16365,0.47304,2.878,3.227,2,1,1
,2023,4,St Patrick's FC,Epping Eastwood FC,1483.81,1508.41,0.32725,0.15026,0.52249,3.126,3.788,1,2,-1
,2023,4,Eastwood St Andrews FC,Ryde Saints United FC,1487.02,1459.35,0.406,0.16306,0.43094,3.085,3.165,2,3,-1
,2023,4,West Pennant Hills Cherrybrook FC,Pennant Hills FC,1587.29,1488.21,0.76218,0.11177,0.12606,4.164,1.915,3,2,1
,2023,4,Normanhurst Eagles FC,West Ryde Rovers FC,1504.73,1530.37,0.55459,0.14904,0.29637,3.797,2.927,4,0,1
,2023,4,Hills Hawks FC,Macquarie Dragons FC,1496.64,1508.68,0.42356,0.17099,0.40545,2.884,2.828,1,2,-1
,2023,5,Epping Eastwood FC,Eastwood St Andrews FC,1514.97,1479.69,0.71433,0.11588,0.16979,4.612,2.592,5,3,1
,2023,5,Pennant Hills FC,St Patrick's FC,1484.72,1477.25,0.6634,0.1356,0.201,3.928,2.362,0,1,-1
,2023,5,Ryde Saints United FC,Normanhurst Eagles FC,1466.68,1513.88,0.28811,0.15276,0.55912,2.73,3.619,0,2,-1
,2023,5,Macquarie Dragons FC,West Pennant Hills Cherrybrook FC,1515.43,1590.79,0.23009,0.14372,0.62619,2.457,3.772,1,1,0
,2023,5,West Ryde Rovers FC,Hills Hawks FC,1521.22,1489.89,0.52476,0.15608,0.31916,3.531,2.859,5,2,1
,2023,6,Pennant Hills FC,Epping Eastwood FC,1477.86,1519.84,0.45436,0.16,0.38564,3.332,3.109,1,0,1
,2023,6,Normanhurst Eagles FC,Eastwood St Andrews FC,1520.52,1474.82,0.77474,0.09865,0.12661,4.952,2.417,1,0,1
,2023,6,St Patrick's FC,Macquarie Dragons FC,1484.1,1515.87,0.36284,0.16744,0.46972,2.759,3.091,1,0,1
,2023,6,Hills Hawks FC,Ryde Saints United FC,1483.65,1460.05,0.50683,0.16045,0.33272,3.365,2.807,2,1,1
,2023,6,West Pennant Hills Cherrybrook FC,West Ryde Rovers FC,1590.35,1527.45,0.76467,0.10407,0.13127,4.692,2.296,3,0,1
,2023,7,Epping Eastwood FC,Normanhurst Eagles FC,1514.16,1524.65,0.41423,0.1592,0.42657,3.253,3.293,0,0,0
,2023,7,Macquarie Dragons FC,Pennant Hills FC,1510.37,1483.55,0.5045,0.17095,0.32455,3.001,2.457,3,2,1
,2023,7,Eastwood St Andrews FC,Hills Hawks FC,1470.69,1488.16,0.41953,0.1527,0.42776,3.531,3.559,0,5,-1
,2023,7,West Ryde Rovers FC,St Patrick's FC,1522.11,1489.6,0.55674,0.1514,0.29186,3.684,2.807,2,1,1
,2023,7,Ryde Saints United FC,West Pennant Hills Cherrybrook FC,1455.54,1595.7,0.1254,0.10995,0.76465,1.959,4.245,0,1,-1
,2023,8,Macquarie Dragons FC,Epping Eastwood FC,1514.7,1513.52,0.49706,0.16148,0.34147,3.325,2.828,2,2,0
,2023,8,Hills Hawks FC,Normanhurst Eagles FC,1499.14,1525.29,0.36027,0.15982,0.47991,2.989,3.377,1,1,0
,2023,8,Pennant Hills FC,West Ryde Rovers FC,1479.22,1526.34,0.4859,0.15932,0.35478,3.401,2.976,0,2,-1
,2023,8,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,1599.81,1459.71,0.90316,0.05421,0.04263,5.383,1.569,7,1,1
,2023,8,St Patrick's FC,Ryde Saints United FC,1485.37,1451.44,0.5502,0.1608,0.28899,3.314,2.494,3,1,1
