K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,brier,logloss,n
30,30,75,0.5,0.5879698622935831,0.990099509040555,187
30,10,100,0.7,0.5879946832385027,0.9868170697034107,187
30,20,90,0.5,0.5880120959299467,0.9871520217306724,187
20,40,65,0.5,0.5881126159122997,0.9913768534424918,187
15,10,90,0.7,0.588144217986631,0.9867762938628728,187
20,10,90,0.7,0.5881697527294116,0.9872689965754812,187
30,30,90,0.3,0.5882072423893049,0.9866694398930486,187
25,30,65,0.7,0.5882464353090909,0.9954285949790641,187
25,40,75,0.3,0.5883709120828878,0.9885401838911991,187
25,10,90,0.7,0.5884656919673797,0.9882184525269501,187
30,20,75,0.7,0.5884658677074864,0.9926048542815723,187
25,40,65,0.5,0.5888834522155085,0.9940933553974401,187
30,10,90,0.7,0.5889708858026736,0.9895533320911588,187
15,20,75,0.5,0.5889851514497325,0.9888907759635847,187
15,30,65,0.5,0.588999092462032,0.9913348692240384,187
30,40,75,0.3,0.5890488007208556,0.9904769477125576,187
15,30,75,0.3,0.5892697966791444,0.9881887556201884,187
15,20,65,0.7,0.5892875331171123,0.9939857716453386,187
20,20,75,0.5,0.5892955948395721,0.9901298013659535,187
30,30,65,0.7,0.5894404633160426,0.9993765248073189,187
20,30,65,0.5,0.5895302816770054,0.9934637213451001,187
20,30,75,0.3,0.5895599890454547,0.9893042153510044,187
20,20,100,0.3,0.5896105542139036,0.9871543855216194,187
15,20,100,0.3,0.5896988428433152,0.9870373854092371,187
25,20,100,0.3,0.5897033833203209,0.9875662370486215,187
25,20,75,0.5,0.5898793599850268,0.9919100883077847,187
20,10,100,0.5,0.5899007765433151,0.9880751926485252,187
30,40,65,0.5,0.5899098785919787,0.9974579098353787,187
20,20,65,0.7,0.5899341765534759,0.9965286743371576,187
30,20,100,0.3,0.5899484095449198,0.9882376008527451,187
15,10,100,0.5,0.5900067905770051,0.9879425442426669,187
25,10,100,0.5,0.590012824909091,0.9885565244668053,187
15,20,90,0.3,0.5900884264834224,0.9879860184531799,187
25,30,75,0.3,0.5900961269417111,0.9909058328019611,187
15,10,75,0.7,0.5901335901096256,0.9921136945466685,187
20,20,90,0.3,0.5901360188807487,0.9884113304902384,187
30,10,100,0.5,0.5903023647454543,0.9893372117166467,187
25,30,65,0.5,0.590378606121925,0.9963088337374544,187
25,20,90,0.3,0.5903840299106949,0.9891829513800414,187
15,10,90,0.5,0.590501356793048,0.9892581383041362,187
20,10,75,0.7,0.5905116096401071,0.9936086608052312,187
15,40,65,0.3,0.5905151459983957,0.9921155586164806,187
20,10,90,0.5,0.5905421312689841,0.9897338488757236,187
30,20,75,0.5,0.5906881076406416,0.9941827450427163,187
30,20,90,0.3,0.5907975594823532,0.9902628346600768,187
25,10,90,0.5,0.5908205400770055,0.9906146802493817,187
30,30,75,0.3,0.5908275056203207,0.9929319769270094,187
25,20,65,0.7,0.5909294148930485,0.9999412725558885,187
20,40,65,0.3,0.590992844957754,0.9940373206462997,187
20,0,100,0.7,0.5911107079604275,0.9904382460879839,187
15,0,100,0.7,0.5911954538128343,0.9902199204393155,187
25,10,75,0.7,0.5911963618192516,0.9957242052158448,187
25,0,100,0.7,0.5912606674203207,0.991032961027671,187
30,10,90,0.5,0.5912918421770054,0.9918508079190899,187
30,30,65,0.5,0.5914740286021388,0.9998296937093828,187
15,20,65,0.5,0.5915643210112296,0.9952741374438903,187
