K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,MOV_C1,MOV_C2,USE_ADJ_RATES,brier
20,50,75,0.8,0.002,3.0,False,0.5782755836299464
30,40,75,0.8,0.002,1.5,True,0.578278813439572
20,40,75,0.7,0.002,1.5,False,0.5782878314951869
30,30,75,0.8,0.001,3.0,False,0.5782887120620319
20,50,100,0.7,0.002,1.5,True,0.5782951103759356
25,50,100,0.8,0.002,2.2,False,0.5783126532342246
30,30,75,0.8,0.002,3.0,False,0.578324292597326
30,50,100,0.7,0.0005,3.0,True,0.5783499434331553
25,50,75,0.7,0.0005,3.0,False,0.5783520125566847
30,40,100,0.8,0.002,1.5,True,0.5783644167577539
20,40,75,0.8,0.001,1.5,True,0.5783715693347593
30,50,100,0.7,0.001,3.0,True,0.5783724607133686
20,40,75,0.8,0.0005,3.0,False,0.5783730983005345
30,50,75,0.5,0.002,3.0,True,0.5783765769213901
30,50,75,0.5,0.001,3.0,True,0.5783786597401069
30,50,75,0.5,0.0005,3.0,True,0.5783820694101607
25,40,75,0.7,0.001,1.5,False,0.5783822801582886
25,50,75,0.7,0.001,3.0,False,0.5783848424128343
20,50,75,0.7,0.001,1.5,True,0.5783949510128341
20,50,100,0.7,0.001,1.5,True,0.5783969284187163
20,40,75,0.8,0.001,3.0,False,0.5784017175192513
30,50,100,0.7,0.002,3.0,True,0.57841683334492
30,50,125,0.8,0.002,1.5,True,0.5784200574930481
25,50,75,0.7,0.001,1.5,True,0.578438294674866
30,40,75,0.7,0.001,1.5,False,0.5784456962673797
25,40,75,0.8,0.001,1.5,True,0.5784479562732616
25,50,75,0.7,0.002,3.0,False,0.578452956549198
20,30,75,0.8,0.002,2.2,True,0.5784557469684493
30,50,125,0.8,0.001,1.5,True,0.5784571311133685
20,40,75,0.8,0.002,3.0,False,0.5784596405641715
20,50,100,0.7,0.0005,1.5,True,0.5784626416187164
25,40,100,0.8,0.0005,2.2,True,0.5784750128385028
25,40,100,0.8,0.001,2.2,True,0.5784805855475933
20,30,75,0.8,0.002,2.2,False,0.5784807412422459
