season,round,home,away,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,xg_home,xg_away,actual_home_goals,actual_away_goals,outcome
2022,18,Eastwood St Andrews FC,Pennant Hills FC,1500.7895652023876,1468.1498335442545,0.5814374137101553,0.2091119900461324,0.20945059624371232,2.07501625547559,1.1718883136231937,3,0,1
2022,8,Macquarie Dragons FC,Epping Eastwood FC,1503.975501083696,1505.1289176621133,0.48520962431661985,0.2201878556194688,0.2946025200639114,1.9362702539685253,1.4735727454370604,1,1,0
2022,8,Hills Hawks FC,North Epping Rangers FC,1494.6630745035145,1415.0986888656191,0.7187945322908643,0.1572428260079496,0.12396264170118597,2.6688686710623557,1.042655092473174,1,0,1
2022,8,Normanhurst Eagles FC,West Ryde Rovers FC,1518.9326780114268,1574.3195233871236,0.34271556643566187,0.22396292920224192,0.4333215043620962,1.6059405240335045,1.8252035862237808,1,4,-1
2022,8,West Pennant Hills Cherrybrook FC,Pennant Hills FC,1597.5671422781536,1459.2207152281696,0.8595874647732948,0.09923684665967639,0.04117568856702874,3.001973780901299,0.5464802796765527,3,1,1
2022,8,Eastwood St Andrews FC,Ryde Saints United FC,1509.7186835184725,1421.375075461711,0.7329887160114881,0.15322723371752053,0.11378405027099135,2.678669339521135,0.9820965580634277,1,0,1
2022,14,Eastwood St Andrews FC,Normanhurst Eagles FC,1514.8058408818788,1507.0227376037785,0.49420648321741933,0.21785215030056043,0.28794136648202023,1.9753158776737048,1.4714624581455258,1,2,-1
2022,14,North Epping Rangers FC,Ryde Saints United FC,1409.8109635544022,1416.2879180983048,0.4789555075814552,0.2180333577613321,0.3030111346572126,1.9631373150992188,1.5316899395546162,0,4,-1
2022,14,West Pennant Hills Cherrybrook FC,Macquarie Dragons FC,1602.0075142745227,1502.7825017559312,0.7631983336095277,0.13853535662261524,0.0982663097678571,2.865706472159876,0.9676799847695106,2,2,0
2022,14,Hills Hawks FC,West Ryde Rovers FC,1499.9507998147315,1586.2294637947718,0.266651666770468,0.20680661786280488,0.5265417153667271,1.5002523321589623,2.1561674858077913,4,2,1
2022,14,Pennant Hills FC,Epping Eastwood FC,1454.7803432318005,1506.321916989878,0.33751688844828276,0.23885587111732193,0.4236272404343953,1.4329726178424962,1.630910630982807,2,1,1
2022,101,West Pennant Hills Cherrybrook FC,Normanhurst Eagles FC,1598.710572803352,1516.9285138010307,0.717196093782525,0.15555623244631547,0.12724767377115948,2.727361544962363,1.0944116672628237,3,1,1
2022,102,West Ryde Rovers FC,Eastwood St Andrews FC,1575.805562013047,1504.9000646846266,0.6951558950726712,0.1708994542060966,0.1339446507212322,2.4661608799691384,0.9979746959584344,1,4,-1
2022,103,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,1604.4635565526387,1520.1659425727541,0.7317364993211111,0.1511565793467188,0.1171069213321701,2.747969629737213,1.0390577420097094,3,1,1
