match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2022,13,Epping Eastwood FC,Eastwood St Andrews FC,1494.46,1490.3,0.48133,0.18074,0.33793,2.707,2.293,0,2,-1
,2022,13,Ryde Saints United FC,Pennant Hills FC,1402.81,1414.61,0.43318,0.18609,0.38073,2.502,2.353,1,2,-1
,2022,13,Normanhurst Eagles FC,West Pennant Hills Cherrybrook FC,1481.68,1655.71,0.18243,0.14089,0.67668,1.977,3.565,3,1,1
,2022,13,West Ryde Rovers FC,North Epping Rangers FC,1628.02,1422.9,0.83249,0.09419,0.07332,3.919,1.268,3,1,1
,2022,13,Macquarie Dragons FC,Hills Hawks FC,1527.85,1481.66,0.57206,0.16397,0.26397,3.157,2.218,2,1,1
,2022,14,Eastwood St Andrews FC,Normanhurst Eagles FC,1505.46,1499.38,0.4665,0.1779,0.3556,2.769,2.443,1,2,-1
,2022,14,North Epping Rangers FC,Ryde Saints United FC,1418.06,1389.46,0.49577,0.1785,0.32573,2.776,2.281,0,4,-1
,2022,14,West Pennant Hills Cherrybrook FC,Macquarie Dragons FC,1638.01,1536.96,0.639,0.15024,0.21076,3.414,2.067,2,2,0
,2022,14,Hills Hawks FC,West Ryde Rovers FC,1472.55,1632.87,0.18439,0.14282,0.67279,1.953,3.509,4,2,1
,2022,14,Pennant Hills FC,Epping Eastwood FC,1427.95,1479.3,0.35982,0.18828,0.4519,2.227,2.485,2,1,1
,2022,15,West Ryde Rovers FC,West Pennant Hills Cherrybrook FC,1615.51,1633.48,0.44408,0.17196,0.38396,2.904,2.721,2,0,1
,2022,15,Epping Eastwood FC,Normanhurst Eagles FC,1466.46,1513.24,0.39158,0.18097,0.42745,2.51,2.615,1,0,1
,2022,15,Pennant Hills FC,North Epping Rangers FC,1440.8,1394.74,0.55857,0.17616,0.26526,2.805,1.963,3,1,1
,2022,15,Macquarie Dragons FC,Eastwood St Andrews FC,1541.48,1491.6,0.56163,0.1689,0.26947,3.016,2.145,1,2,-1
,2022,15,Ryde Saints United FC,Hills Hawks FC,1412.78,1489.91,0.34802,0.17473,0.47725,2.486,2.871,0,4,-1
,2022,16,North Epping Rangers FC,Epping Eastwood FC,1384.74,1479.16,0.28141,0.17574,0.54285,2.079,2.837,0,3,-1
,2022,16,Normanhurst Eagles FC,Macquarie Dragons FC,1500.54,1526.43,0.40607,0.17853,0.41541,2.62,2.647,1,3,-1
,2022,16,Hills Hawks FC,Pennant Hills FC,1507.59,1450.8,0.55427,0.17154,0.27419,2.946,2.12,1,3,-1
,2022,16,Eastwood St Andrews FC,West Ryde Rovers FC,1506.65,1628.25,0.24178,0.16151,0.59672,2.094,3.173,1,0,1
,2022,16,West Pennant Hills Cherrybrook FC,Ryde Saints United FC,1620.75,1395.1,0.82174,0.09659,0.08167,4.013,1.404,5,1,1
,2022,17,West Ryde Rovers FC,Normanhurst Eagles FC,1613.41,1486.34,0.69565,0.13847,0.16588,3.517,1.827,0,4,-1
,2022,17,Pennant Hills FC,West Pennant Hills Cherrybrook FC,1467.53,1627.14,0.19902,0.15236,0.64862,1.895,3.277,1,3,-1
,2022,17,Ryde Saints United FC,Eastwood St Andrews FC,1388.7,1521.48,0.25119,0.16584,0.58297,2.074,3.067,8,3,1
,2022,17,Epping Eastwood FC,Macquarie Dragons FC,1493.44,1540.63,0.37822,0.18181,0.43997,2.442,2.621,4,1,1
,2022,17,North Epping Rangers FC,Hills Hawks FC,1370.45,1490.86,0.26015,0.16553,0.57431,2.152,3.098,0,1,-1
,2022,18,Hills Hawks FC,Epping Eastwood FC,1500.18,1511.07,0.42961,0.18025,0.39014,2.639,2.523,3,1,1
,2022,18,Macquarie Dragons FC,West Ryde Rovers FC,1523.0,1586.36,0.34655,0.17444,0.47902,2.486,2.882,0,3,-1
,2022,18,West Pennant Hills Cherrybrook FC,North Epping Rangers FC,1635.85,1361.14,0.88421,0.07061,0.04519,4.224,1.07,6,1,1
